quarter,q,adult,youth,lf1519
Mar-86,1,3.20616888999939,12.3999996185303,222.600006103516
Jun-86,2,3.12668824195862,11.3000001907349,205.899993896484
Sep-86,3,3.10961222648621,10.8999996185303,197.300003051758
Dec-86,4,3.01436376571655,11.6999998092651,208.5
Mar-87,5,3.18927979469299,11.6999998092651,210.600006103516
Jun-87,6,3.34834933280945,10.3999996185303,204.600006103516
Sep-87,7,3.4126718044281,9.10000038146973,194.100006103516
Dec-87,8,3.32755398750305,10.8999996185303,204.399993896484
Mar-88,9,4.04142284393311,13.3000001907349,199.600006103516
Jun-88,10,4.45075750350952,13.1000003814697,189.300003051758
Sep-88,11,5.32761764526367,13.6999998092651,181.300003051758
Dec-88,12,5.15811491012573,13.8000001907349,185.100006103516
Mar-89,13,6.18808507919312,17.2000007629395,184.100006103516
Jun-89,14,6.41532564163208,16.2000007629395,169.199996948242
Sep-89,15,6.25340986251831,16,162.699996948242
Dec-89,16,6.00338411331177,16.6000003814697,177.899993896484
Mar-90,17,6.34738636016846,17.1000003814697,175.600006103516
Jun-90,18,6.57921171188354,16.6000003814697,174
Sep-90,19,6.84259986877441,17.6000003814697,168.600006103516
Dec-90,20,7.46860551834106,20.2999992370605,173.600006103516
Mar-91,21,8.92868900299072,22,168.5
Jun-91,22,9.13848400115967,21.7999992370605,157.399993896484
Sep-91,23,9.65182590484619,23.8999996185303,154.300003051758
Dec-91,24,9.62127590179443,22.7999992370605,160.399993896484
Mar-92,25,10.1719017028809,23.3999996185303,156.100006103516
Jun-92,26,9.13898754119873,23,140.300003051758
Sep-92,27,9.27285766601562,22.7999992370605,136.699996948242
Dec-92,28,9.35818576812744,22.7999992370605,147.199996948242
Mar-93,29,9.31303596496582,23.5,141.800003051758
Jun-93,30,8.74459457397461,24.5,132.199996948242
Sep-93,31,8.37732982635498,20,129.899993896484
Dec-93,32,8.28632354736328,21.1000003814697,143.899993896484
Mar-94,33,8.42609310150146,24,144.600006103516
Jun-94,34,7.38213396072388,21,133.5
Sep-94,35,7.00304460525513,16.5,139.800003051758
Dec-94,36,6.60124349594116,17.8999996185303,147.899993896484
Mar-95,37,6.19415235519409,17.6000003814697,144.800003051758
Jun-95,38,5.4702205657959,16,141.300003051758
Sep-95,39,5.17554473876953,16.2999992370605,144.800003051758
Dec-95,40,5.33150672912598,17.1000003814697,158.399993896484
Mar-96,41,5.7021427154541,17.3999996185303,151.899993896484
Jun-96,42,5.27367877960205,15.8000001907349,147.899993896484
Sep-96,43,5.38425588607788,16.3999996185303,152.100006103516
Dec-96,44,5.30377769470215,15.8000001907349,147.699996948242
Mar-97,45,6.08292245864868,17.5,153.300003051758
Jun-97,46,5.86904811859131,16.6000003814697,149.5
Sep-97,47,6.03832578659058,16.1000003814697,145.100006103516
Dec-97,48,5.89317560195923,17.2999992370605,153.100006103516
Mar-98,49,6.82092189788818,18.2000007629395,152.399993896484
Jun-98,50,6.92738056182861,18.5,143.699996948242
Sep-98,51,6.69668626785278,17.7999992370605,139.199996948242
Dec-98,52,6.92197751998901,17.7000007629395,145.199996948242
Mar-99,53,6.97621726989746,18.7000007629395,138.300003051758
Jun-99,54,6.45713329315186,17.7000007629395,134.100006103516
Sep-99,55,6.03857803344727,16.3999996185303,140.699996948242
Dec-99,56,5.39121580123901,16.5,149.399993896484
Mar-00,57,5.81487321853638,18.7000007629395,148.399993896484
Jun-00,58,5.27847528457642,18.6000003814697,141.100006103516
Sep-00,59,5.04651832580566,16.2000007629395,138.899993896484
Dec-00,60,4.72954130172729,16.1000003814697,152
Mar-01,61,4.84581518173218,17.2999992370605,147
Jun-01,62,4.51195001602173,16,143.899993896484
Sep-01,63,4.45407104492188,15.1999998092651,140.100006103516
Dec-01,64,4.54471158981323,15.3000001907349,157.600006103516
Mar-02,65,4.73331165313721,16.2999992370605,162.199996948242
Jun-02,66,4.35159587860107,15.6000003814697,153
Sep-02,67,4.63387012481689,14.6000003814697,150
Dec-02,68,3.90662479400635,16.3999996185303,158.899993896484
Mar-03,69,4.46015644073486,16.1000003814697,159.699996948242
Jun-03,70,4.01740694046021,14.1000003814697,146.5
Sep-03,71,3.68365740776062,13.1999998092651,151.199996948242
Dec-03,72,3.70331907272339,14.6999998092651,162.399993896484
Mar-04,73,3.95716953277588,13.3999996185303,158.800003051758
Jun-04,74,3.20107746124268,15.1999998092651,150.199996948242
Sep-04,75,3.11090612411499,12.1999998092651,150.699996948242
Dec-04,76,2.9044394493103,12,167.699996948242
Mar-05,77,3.42352294921875,14.5,165.199996948242
Jun-05,78,2.99011707305908,12.8000001907349,158.5
Sep-05,79,2.82328343391418,14.1999998092651,162.100006103516
Dec-05,80,2.87787532806396,11.8000001907349,173.5
Mar-06,81,3.59951162338257,14.6999998092651,172.399993896484
Jun-06,82,2.7385892868042,14.1000003814697,163.5
Sep-06,83,2.96928334236145,13.3000001907349,159.600006103516
Dec-06,84,2.67983078956604,14.3999996185303,181.899993896484
Mar-07,85,3.28270697593689,15.8999996185303,179.199996948242
Jun-07,86,2.73490262031555,13.3999996185303,172.899993896484
Sep-07,87,2.50048470497131,15.3999996185303,176.300003051758
Dec-07,88,2.47678017616272,12.8999996185303,183.800003051758
Mar-08,89,3.33797597885132,15.5,170.699996948242
Jun-08,90,2.89323163032532,15.3999996185303,173.699996948242
Sep-08,91,3.21893501281738,15.6999998092651,165.100006103516
Dec-08,92,3.2717456817627,17.8999996185303,182
Mar-09,93,4.52755928039551,19.1000003814697,168.199996948242
Jun-09,94,4.52909564971924,22.8999996185303,160.100006103516
Sep-09,95,4.94278764724731,25.1000003814697,155.5
Dec-09,96,5.25220775604248,26.5,171
May-10,97,5.21618509292603,25.2000007629395,161.600006103516
Jun-10,98,5.4194917678833,24.7000007629395,152.800003051758
Sep-10,99,5.08979272842407,23.2999992370605,143.5
Dec-10,100,5.26793432235718,25.5,154.699996948242
Mar-11,101,5.63,27.5,150.9
Jun-11,102,4.99,27.6,NA
